用例ID,模块,标题,前置条件,步骤,预期结果,优先级
TC-AUTH-001,用户系统,未登录访问受保护页面跳转登录,"浏览器无有效登录会话",1. 访问 /#/dashboard;2. 观察地址栏与页面,跳转至 /#/signin?redirect=/dashboard；侧栏不显示；展示登录表单,P0
TC-AUTH-002,用户系统,已登录访问登录页跳转首页,"已用有效账号登录",1. 访问 /#/signin;2. 观察跳转,自动跳转至 /#/dashboard,P1
TC-AUTH-003,用户系统,已登录访问注册页跳转首页,"已用有效账号登录",1. 访问 /#/signup;2. 观察跳转,自动跳转至 /#/dashboard,P1
TC-AUTH-004,用户系统,登录页必填校验-空邮箱,"打开 /#/signin",1. 邮箱留空;2. 输入任意密码;3. 点击 Log in,弹出校验提示要求填写邮箱；不发起登录请求,P0
TC-AUTH-005,用户系统,登录页必填校验-非法邮箱,"打开 /#/signin",1. 输入非法邮箱格式;2. 输入密码;3. 点击 Log in,提示邮箱格式无效；不登录成功,P1
TC-AUTH-006,用户系统,登录页必填校验-空密码,"打开 /#/signin",1. 输入合法邮箱;2. 密码留空;3. 点击 Log in,提示需填写密码；不登录成功,P0
TC-AUTH-007,用户系统,登录成功进入Dashboard,"存在启用状态的测试账号",1. 打开 /#/signin;2. 输入正确 Email Address 与 Password;3. 点击 Log in,登录成功；进入 /#/dashboard；侧栏显示用户信息,P0
TC-AUTH-008,用户系统,登录失败-账号不存在,"打开 /#/signin",1. 输入未注册邮箱与任意密码;2. 点击 Log in,提示 Account not found 或等价错误；仍停留登录页,P0
TC-AUTH-009,用户系统,登录失败-密码错误,"存在启用账号",1. 输入正确邮箱与错误密码;2. 点击 Log in,提示 Incorrect password 或等价错误；不进入系统,P0
TC-AUTH-010,用户系统,登录失败-账号已禁用,"存在被管理员 Disable 的账号",1. 用该账号登录;2. 点击 Log in,提示账号被禁用（client disabled）或等价错误；无法进入系统,P0
TC-AUTH-011,用户系统,Remember me 记住邮箱,"打开 /#/signin",1. 勾选 Remember me;2. 成功登录后退出;3. 再次打开登录页,Email Address 自动回填上次邮箱；密码不回填,P2
TC-AUTH-012,用户系统,登录页跳转注册,"打开 /#/signin",1. 点击 Sign up 链接,进入 /#/signup 注册页,P1
TC-AUTH-013,用户系统,注册必填与条款校验,"打开 /#/signup",1. 不填 Full Name/Email/Organization/Password 或不勾选条款;2. 点击 Create account,给出对应必填/同意条款校验提示；不创建账号,P0
TC-AUTH-014,用户系统,注册密码长度校验,"打开 /#/signup",1. 填写合法姓名邮箱组织;2. 密码少于6位;3. 勾选条款;4. 点击 Create account,提示密码至少6位；注册失败,P1
TC-AUTH-015,用户系统,注册邮箱格式校验,"打开 /#/signup",1. 填写非法邮箱;2. 其余合法并勾选条款;3. 点击 Create account,提示邮箱格式无效；不创建账号,P1
TC-AUTH-016,用户系统,注册成功并自动登录,"邮箱未被占用；SMTP 非必须",1. 填写合法 Full Name、Email、Organization、Password(≥6);2. 勾选 terms;3. 点击 Create account,创建成功并自动登录；进入 /#/dashboard,P0
TC-AUTH-017,用户系统,注册页条款链接提示不可用,"打开 /#/signup",1. 点击 terms 或 privacy 链接,弹出「not available yet」类提示；不打开独立条款页,P2
TC-AUTH-018,用户系统,注册页返回登录,"打开 /#/signup",1. 点击 Log in 链接,进入 /#/signin,P1
TC-AUTH-019,用户系统,找回密码-发送验证码,"打开 /#/signin；SMTP 可用",1. 点击 Reset Password?;2. 在 Recover 弹窗输入已注册邮箱;3. 点击 Reset Your Password,进入验证码步骤；提示验证码已发送,P0
TC-AUTH-020,用户系统,找回密码-重置成功,"已收到有效验证码",1. 输入 Verification Code、New Password、Confirm（≥6且一致）;2. 点击 Reset,密码重置成功；可用新密码登录,P0
