用例ID,模块,标题,前置条件,步骤,预期结果,优先级
TC-DOC-001,文档中心,打开文档中心,"已登录；库内有文档种子数据",1. 侧栏点击 Document 或访问 /#/document,左侧显示 Document 树；中间/右侧可展示 summary 与正文区域,P0
TC-DOC-002,文档中心,展开收起章节,"已登录；存在多 section",1. 点击侧栏 section 展开/收起,子页面列表展开或收起正常,P1
TC-DOC-003,文档中心,点击页面加载详情,"已登录；存在文档页",1. 点击侧栏某一 page,右侧加载正文；URL 同步 pageId 查询参数（如 ?pageId=）,P0
TC-DOC-004,文档中心,通过 pageId 直达,"已登录；已知有效 pageId",1. 访问 /#/document?pageId=有效ID,自动选中对应页并加载正文,P1
TC-DOC-005,文档中心,无效 pageId,"已登录",1. 访问不存在的 pageId,页面不崩溃；无正文或回退到默认态,P2
TC-DOC-006,文档中心,Markdown/富文本渲染,"已登录；文档含标题/列表/代码块/图片/表格",1. 打开含多种元素的页面,标题、列表、代码块、图片、表格显示正常可读,P0
TC-DOC-007,文档中心,摘要锚点导航,"已登录；页面有 summary 锚点",1. 点击中间 summary 锚点,正文滚动或定位到对应章节,P1
TC-DOC-008,文档中心,侧栏标题本地搜索命中,"已登录；存在多页",1. 在侧栏 Search 输入已知页面标题关键字,树仅显示标题匹配的页面（本地过滤）,P0
TC-DOC-009,文档中心,侧栏搜索无命中,"已登录",1. 搜索不存在的标题关键字,侧栏无匹配项或空态；不发起独立全文搜索 API,P1
TC-DOC-010,文档中心,清空搜索恢复树,"已登录；已输入搜索关键字",1. 清空侧栏搜索框,文档树恢复完整展示,P1
TC-DOC-011,文档中心,文档搜索仅限标题,"已登录；正文含某词但标题不含",1. 用仅出现在正文的词搜索侧栏,按当前实现：不应命中（无正文全文搜索）,P2
TC-DOC-012,文档中心,未登录不可访问,"无会话",1. 直接访问 /#/document,跳转登录页并带 redirect,P0
TC-DOC-013,文档中心,树加载失败提示,"已登录；可模拟 documents/getTree 失败",1. 打开文档页,展示错误/空态提示；页面不白屏崩溃,P2
TC-DOC-014,文档中心,单页加载失败提示,"已登录；可模拟 getPage 失败",1. 点击某页触发加载失败,正文区提示加载失败；可切换其他页,P2
TC-DOC-015,文档中心,长文档滚动阅读,"已登录；存在长文",1. 打开长文档并滚动阅读,布局稳定；侧栏与正文可同时使用,P2
TC-DOC-016,文档中心,切换页面内容更新,"已登录；至少两个页面",1. 连续点击不同 page,正文与 summary 随选中页正确切换；无串内容,P1
