编号,模块,功能点,原需求/目标,页面/路由,对接 API,源码位置
F01,全局/首页,首页总体布局,展示平台介绍、核心入口、导航、搜索/应用入口，视觉风格与设计稿一致。,/dashboard（/ 重定向至此）,POST /dashboard/getData；POST /todos/update,src/components/dashboard.vue；src/components/dashboard/app-quick-card.vue；src/components/dashboard/notification-list.vue；src/components/dashboard/todo-list.vue；src/components/dashboard/task-stats-chart.vue；src/components/dashboard/storage-chart.vue；src/App.vue；src/assets/css/main.scss；api/src/routes/dashboard.js；api/src/routes/todos.js；api/src/services/dashboardService.js
F02,全局/首页,顶部导航与菜单,提供数据库、应用、文档、工作区、后台等入口，并按权限展示。,全局侧栏（除 /signin、/signup 外各页可见）,POST /account/logout,src/components/parts/app-menu.vue；src/App.vue；src/router/index.js；api/src/routes/account.js；api/src/constants/roles.js
F03,全局/首页,全局搜索入口,支持进入质粒数据库或相关资源搜索，搜索行为与后端接口匹配。,/search（侧栏搜索框跳转）；?q= 查询参数,POST /search/global；GET /files/download/:id,src/components/search.vue；src/components/parts/app-menu.vue；api/src/routes/search.js；api/src/services/searchService.js
F04,用户系统,注册/登录/登出,用户可注册、登录、登出；异常提示清楚，token/session 处理正确。,/signin；/signup,POST /account/login；POST /account/register；POST /account/logout；POST /user/refreshProfile,src/components/signin.vue；src/components/signup.vue；src/App.vue；api/src/routes/account.js；api/src/routes/user.js；api/src/services/userStore.js；api/src/middleware/auth.js
F05,用户系统,找回密码/重置密码,如合同或需求包含该功能，应能正常发送/校验/重置；未做需说明。,/signin 内弹窗 RecoverPasswordModal,POST /account/sendVCode；POST /account/resetPassword,src/components/recover-password-modal.vue；src/components/signin.vue；api/src/routes/account.js；api/src/services/mailService.js；api/src/services/vcodeStore.js
F06,用户系统,个人信息/账户设置,用户可查看和维护个人信息，必要字段与后端一致。,/settings,POST /user/refreshProfile；POST /user/updateProfile；POST /user/uploadAvatar；POST /user/changePassword；POST /user/sendCurrentEmailVCode；POST /user/sendNewEmailVCode；POST /user/changeEmail,src/components/settings.vue；src/components/settings/profile-card.vue；src/components/settings/password-card.vue；src/components/settings/email-card.vue；api/src/routes/user.js
F07,质粒数据库,数据库列表页,可分页/排序/筛选展示质粒数据，字段与后端一致。,/datasets-categories；/datasets/:id/browse（正式投产）；/datasets、/datasets-legacy（早期原型，Mock，未投产）,POST /datasets/browse/rows；POST /datasets/legacy/rows（仅原型页）,src/components/datasets-categories.vue；src/components/dataset-browse.vue；src/components/dataset-browse/*.vue；src/components/datasets.vue；src/components/datasets-legacy.vue；src/data/datasets-mock.js；api/src/routes/datasets.js；api/src/services/datasetBrowseStore.js
F08,质粒数据库,基础检索,支持关键字检索，搜索结果正确展示并处理无结果/错误状态。,/datasets/:id/browse 工具栏搜索；/search 全局搜索,POST /datasets/browse/rows（keyword）；POST /search/global,src/components/dataset-browse.vue；src/components/search.vue；api/src/routes/search.js；api/src/services/searchService.js；api/src/services/datasetBrowseStore.js
F09,质粒数据库,高级筛选,支持按类型、标签、来源、特征等条件筛选；具体字段以真实后端为准。,/datasets/:id/browse 左侧筛选；/datasets-categories 左侧筛选,POST /datasets/browse/rows；POST /datasets/browse/options,src/components/dataset-browse/dataset-browse-filter.vue；src/components/dataset-browse.vue；src/components/datasets-categories.vue；api/src/routes/datasets.js；api/src/services/datasetBrowseStore.js
F10,质粒数据库,详情页,展示质粒详细信息、序列、注释、图谱/结构相关信息及操作入口。,/datasets/:datasetType/:id/detail,POST /datasets/browse/detail,src/components/dataset-item-detail.vue；api/src/routes/datasets.js；api/src/services/datasetBrowseStore.js
