用例ID,模块,标题,前置条件,步骤,预期结果,优先级
TC-DS-001,质粒数据库,打开分类页,"已登录",1. 侧栏点击 DataSets 或访问 /#/datasets-categories,展示分类 Banner 与 DNA Parts 卡片（Promoter/RBS/CDS/Terminator/Backbone/Plasmid 等）,P0
TC-DS-002,质粒数据库,分类页本地筛选,"已登录",1. 使用 Part Type（Promoter/RBS/CDS/Terminator）、Function、Chassis 筛选,卡片列表按条件本地过滤；无匹配时提示 No parts match…,P1
TC-DS-003,质粒数据库,Featured DNA Parts 进入 Browse,"已登录；库内有数据",1. 点击 Featured DNA Parts 可点击卡片,进入 /#/datasets/:id/browse 并带上对应 datasetType/type,P0
TC-DS-004,质粒数据库,Logic Gates 分类禁用,"已登录",1. 查看 Logic Gates & Circuits 卡片;2. 尝试点击,卡片为 disabled 状态；无法进入 Browse,P1
TC-DS-005,质粒数据库,Browse 列表加载与分页,"已登录",1. 进入 Part/Backbone/Plasmid 任一 Browse 页;2. 翻页/切换每页数量（若有）,列表服务端分页加载；行数据字段正常展示,P0
TC-DS-006,质粒数据库,Browse 关键字检索,"已登录",1. 在 Search name or alias... 输入已知名称或别名;2. 等待约300ms debounce,列表按关键字刷新；无匹配时为空列表无报错,P0
TC-DS-007,质粒数据库,Browse 高级筛选,"已登录",1. 使用左侧筛选条件组合筛选;2. 清除筛选,结果随筛选变化；清除后恢复默认列表,P1
TC-DS-008,质粒数据库,Browse 排序,"已登录；列表有多行",1. 点击可排序列头（若提供）,列表按该字段升/降序刷新,P2
TC-DS-009,质粒数据库,从 Browse 进入详情,"已登录；存在数据行",1. 点击行 View 或详情入口,进入 /#/datasets/:datasetType/:id/detail,P0
TC-DS-010,质粒数据库,详情页信息区块展示,"已登录；存在元件",1. 打开详情页查看各区块,展示 Basic Information、Culture/Marker、Scar、Sequence、Parent、Features 等（按类型有内容则显示）,P0
TC-DS-011,质粒数据库,详情页返回列表,"已登录；在详情页",1. 点击 Back to list,返回对应 Browse 列表,P1
TC-DS-012,质粒数据库,Download Map,"已登录；记录包含序列",1. 在详情页点击 Download Map,调用 bio-app API /api/datasets/browse/map/:datasetType/:id；浏览器下载 GenBank 文件,P0
TC-DS-013,质粒数据库,Part 详情 View Test Data,"已登录；打开 Part 详情",1. 点击 View Test Data（若入口存在）,展示测试数据相关内容或面板无报错,P2
TC-DS-014,质粒数据库,普通用户可见 Upload Map,"已登录普通用户(role=0)",1. 进入 Browse 工具栏,显示 Upload Map 按钮,P0
TC-DS-015,质粒数据库,普通用户不可见 Batch Upload,"已登录普通用户(role=0)",1. 进入 Browse 工具栏,不显示 Batch Upload 按钮,P0
TC-DS-016,质粒数据库,数据管理员可见 Batch Upload,"已登录数据管理员(role=1)",1. 进入 Browse 工具栏,显示 Batch Upload 与 Upload Map,P0
TC-DS-017,质粒数据库,管理员可见 Batch Upload,"已登录管理员(role≥9)",1. 进入 Browse 工具栏,显示 Batch Upload 与 Upload Map,P0
TC-DS-018,质粒数据库,Upload Map-合法文件上传成功,"已登录；LabDatabase 上传可用；准备 .fasta/.gb 等合法文件",1. 点击 Upload Map;2. 选择 Dataset Type（Part/Backbone/Plasmid）;3. 选择一个或多个合法序列文件;4. 保持 Save feature annotations 默认开启;5. 点击 Upload,上传成功提示；弹窗关闭；Browse 列表刷新出现新数据（或结果汇总）,P0
TC-DS-019,质粒数据库,Upload Map-多文件部分失败,"已登录；LabDatabase 可用；部分文件故意非法",1. 同时选择合法与非法文件上传,展示失败文件 file_name 与 message；若有成功项仍刷新列表,P1
